package name,version,source,downloads,language
illuminate/contracts,,packagist,"{u'last_month': 450479, u'overall': 10453882, u'last_day': 19428}",php
patchwork/utf8,,packagist,"{u'last_month': 177636, u'overall': 10431966, u'last_day': 8373}",php
codeception/codeception,,packagist,"{u'last_month': 370187, u'overall': 10407424, u'last_day': 17017}",php
giggsey/libphonenumber-for-php,,packagist,"{u'last_month': 469867, u'overall': 10245617, u'last_day': 19590}",php
cocur/slugify,,packagist,"{u'last_month': 333785, u'overall': 10216383, u'last_day': 12894}",php
friendsofsymfony/jsrouting-bundle,,packagist,"{u'last_month': 288388, u'overall': 10152346, u'last_day': 13373}",php
sebastian/phpcpd,,packagist,"{u'last_month': 347158, u'overall': 10046922, u'last_day': 14766}",php
friendsofphp/php-cs-fixer,,packagist,"{u'last_month': 563367, u'overall': 9957435, u'last_day': 27834}",php
composer/composer,,packagist,"{u'last_month': 681271, u'overall': 9901665, u'last_day': 29679}",php
google/apiclient-services,,packagist,"{u'last_month': 567711, u'overall': 9891664, u'last_day': 26809}",php
symfony/psr-http-message-bridge,,packagist,"{u'last_month': 613025, u'overall': 9797824, u'last_day': 26605}",php
laravel/laravel,,packagist,"{u'last_month': 279322, u'overall': 9769721, u'last_day': 10651}",php
zendframework/zend-uri,,packagist,"{u'last_month': 359538, u'overall': 9655890, u'last_day': 17271}",php
stripe/stripe-php,,packagist,"{u'last_month': 378838, u'overall': 9629530, u'last_day': 16969}",php
lcobucci/jwt,,packagist,"{u'last_month': 920082, u'overall': 9528538, u'last_day': 48522}",php
sentry/sentry,,packagist,"{u'last_month': 616825, u'overall': 9508850, u'last_day': 26336}",php
zendframework/zend-json,,packagist,"{u'last_month': 328634, u'overall': 9402082, u'last_day': 16240}",php
maatwebsite/excel,,packagist,"{u'last_month': 406248, u'overall': 9394578, u'last_day': 17298}",php
league/fractal,,packagist,"{u'last_month': 344522, u'overall': 9170220, u'last_day': 14960}",php
nikic/fast-route,,packagist,"{u'last_month': 387597, u'overall': 9130092, u'last_day': 17073}",php
zendframework/zend-http,,packagist,"{u'last_month': 329097, u'overall': 9126961, u'last_day': 14342}",php
knplabs/knp-snappy,,packagist,"{u'last_month': 303359, u'overall': 9071492, u'last_day': 13090}",php
maxmind-db/reader,,packagist,"{u'last_month': 327976, u'overall': 9066625, u'last_day': 14894}",php
composer/spdx-licenses,,packagist,"{u'last_month': 675211, u'overall': 9048812, u'last_day': 31474}",php
league/csv,,packagist,"{u'last_month': 428114, u'overall': 8871048, u'last_day': 19910}",php
illuminate/container,,packagist,"{u'last_month': 368870, u'overall': 8803799, u'last_day': 16750}",php
jms/cg,,packagist,"{u'last_month': 175612, u'overall': 8798207, u'last_day': 8169}",php
seld/phar-utils,,packagist,"{u'last_month': 629352, u'overall': 8622881, u'last_day': 28322}",php
geoip2/geoip2,,packagist,"{u'last_month': 284560, u'overall': 8551638, u'last_day': 12771}",php
php-http/httplug,,packagist,"{u'last_month': 690497, u'overall': 8503061, u'last_day': 40384}",php
php-http/promise,,packagist,"{u'last_month': 699385, u'overall': 8495385, u'last_day': 44275}",php
seld/cli-prompt,,packagist,"{u'last_month': 322702, u'overall': 8479893, u'last_day': 13943}",php
ruflin/elastica,,packagist,"{u'last_month': 257196, u'overall': 8449826, u'last_day': 11068}",php
silex/silex,,packagist,"{u'last_month': 160534, u'overall': 8439887, u'last_day': 6346}",php
knplabs/knp-components,,packagist,"{u'last_month': 213689, u'overall': 8271466, u'last_day': 8943}",php
symfony/cache,,packagist,"{u'last_month': 728934, u'overall': 8206585, u'last_day': 31019}",php
jms/di-extra-bundle,,packagist,"{u'last_month': 122922, u'overall': 8183908, u'last_day': 5021}",php
jms/aop-bundle,,packagist,"{u'last_month': 131432, u'overall': 8183624, u'last_day': 5748}",php
psr/link,,packagist,"{u'last_month': 642160, u'overall': 8173068, u'last_day': 29334}",php
zendframework/zend-math,,packagist,"{u'last_month': 276607, u'overall': 8109399, u'last_day': 14171}",php
zendframework/zend-filter,,packagist,"{u'last_month': 301513, u'overall': 8094705, u'last_day': 16379}",php
symfony/twig-bridge,,packagist,"{u'last_month': 535822, u'overall': 8083344, u'last_day': 21387}",php
fig/link-util,,packagist,"{u'last_month': 625646, u'overall': 8067515, u'last_day': 28010}",php
