source,target,distance
apancutt/aws-eb-newrelic-deploynotify,apancutt/aws-eb-newrelic-deploynotify,0
antavo/signed-token,antavo/signed-token,0
apache-solr-for-typo3/tika,apache-solr-for-typo3/tika,0
activecollab/filesystem,activecollab/filesystem,0
a6digital/laravel-default-profile-image,a6digital/laravel-default-profile-image,0
antavo/rest-client,antavo/rest-client,0
acasademont/i18n-routing-bundle,acasademont/i18n-routing-bundle,0
alek13/slack,alek13/slack,0
alfred-nutile-inc/laravel-feature-flag,alfred-nutile-inc/laravel-feature-flag,0
alcaeus/phpunit-progressing-result-printer,alcaeus/phpunit-progressing-result-printer,0
affirm/magento2,affirm/magento2,0
activecollab/jobsqueue,activecollab/jobsqueue,0
aego/oauth2-odnoklassniki,aego/oauth2-odnoklassniki,0
alebear/versioncontrol_git,alebear/versioncontrol_git,0
2amigos/yii2-translateable-behavior,2amigos/yii2-translateable-behavior,0
amranidev/ajaxis,amranidev/ajaxis,0
adrotec/odataphpprod,adrotec/odataphpprod,0
aboutyou/cache,aboutyou/cache,0
laravel/framework,aravel/framework,1
aws/aws-sdk-php,aws/aws-sdk-php,0
behat/transliterator,behat/transliterator,0
behat/gherkin,behat/gherkin,0
behat/mink,behat/mink,0
behat/behat,behat/behat,0
behat/mink-browserkit-driver,behat/mink-browserkit-driver,0
behat/mink-extension,behat/mink-extension,0
behat/mink-selenium2-driver,behat/mink-selenium-driver,1
behat/mink-selenium2-driver,behat/mink-selenium2-driver,0
barryvdh/laravel-debugbar,barryvdh/laravel-debugbar,0
behat/mink-goutte-driver,behat/mink-goutte-driver,0
barryvdh/laravel-ide-helper,barryvdh/laravel-ide-helper,0
behat/symfony2-extension,behat/symfony2-extension,0
barryvdh/reflection-docblock,barryvdh/reflection-docblock,0
beberlei/doctrineextensions,beberlei/doctrineextensions,0
beberlei/assert,beberlei/assert,0
asm89/stack-cors,asm89/stack-cors,0
barryvdh/laravel-cors,barryvdh/laravel-cors,0
aws/aws-sdk-php-laravel,aws/aws-sdk-php-laravel,0
aws/aws-sdk-php-laravel,aws/aws-sdk-php-laravel5,1
barryvdh/laravel-dompdf,barryvdh/laravel-dompdf,0
bacon/bacon-qr-code,bacon/bacon-qr-code,0
aura/intl,aura/intl,0
ass/xmlsecurity,ass/xmlsecurity,0
barryvdh/laravel-snappy,barryvdh/laravel-snappy,0
aws/aws-sdk-php-symfony,aws/aws-sdk-php-symfony,0
asm89/twig-cache-extension,asm89/twig-cache-extension,0
aura/installer-default,aura/installer-default,0
behatch/contexts,behatch/contexts,0
authorizenet/authorizenet,authorizenet/authorizenet,0
beyondcode/laravel-dump-server,beyondcode/laravel-dump-server,0
behat/common-contexts,behat/common-contexts,0
behat/mink-zombie-driver,behat/mink-zombie-driver,0
aws/aws-php-sns-message-validator,aws/aws-php-sns-message-validator,0
api-platform/core,api-platform/core,0
hoa/math,aza/math,2
aptoma/twig-markdown,aptoma/twig-markdown,0
besimple/soap-common,besimple/soap-common,0
apy/jsfv-bundle,apy/jsfv-bundle,0
arcanedev/support,arcanedev/support,0
blackfire/php-sdk,blackfire/php-sdk,0
besimple/soap-client,besimple/soap-client,0
asimlqt/php-google-spreadsheet-client,asimlqt/php-google-spreadsheet-client,0
baum/baum,baum/baum,0
atoum/atoum,atoum/atoum,0
